Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,1.015625,0.9921879768371582,1.003906011581421,0.9921879768371582,131200.0,0.8628650903701782
2000-01-04,1.0078129768371582,0.9609379768371582,0.984375,0.9707030057907104,67200.0,0.8441805243492126
2000-01-05,1.0,0.9765629768371582,1.0,0.9765629768371582,129600.0,0.8492766618728638
2000-01-06,0.9765629768371582,0.9609379768371582,0.9765629768371582,0.9609379768371582,188800.0,0.8356882929801941
2000-01-07,0.984375,0.9375,0.9609379768371582,0.984375,116800.0,0.8560705780982971
2000-01-10,0.984375,0.9375,0.9375,0.9375,19200.0,0.8153051733970642
2000-01-11,1.0,0.9453129768371582,0.984375,0.9453129768371582,86400.0,0.8220999240875244
2000-01-12,1.0,0.96875,0.96875,1.0,60800.0,0.869658887386322
2000-01-13,1.015625,0.984375,1.0,0.984375,156800.0,0.8560705780982971
2000-01-14,1.015625,0.9882810115814209,0.9882810115814209,1.015625,340800.0,0.8832473158836365
2000-01-18,1.015625,0.9960939884185791,1.0078129768371582,1.003906011581421,156800.0,0.8730559349060059
2000-01-19,1.003906011581421,0.9492189884185791,1.003906011581421,0.9589840173721313,241600.0,0.833989143371582
2000-01-20,1.0078129768371582,0.9492189884185791,0.9492189884185791,0.984375,300800.0,0.8560705780982971
2000-01-21,0.984375,0.9492189884185791,0.9804689884185791,0.953125,275200.0,0.828893780708313
2000-01-24,0.984375,0.9257810115814209,0.953125,0.9257810115814209,326400.0,0.8051136136054993
2000-01-25,0.9765629768371582,0.9140629768371582,0.9765629768371582,0.9140629768371582,2587200.0,0.794922947883606
2000-01-26,0.9375,0.9296879768371582,0.9296879768371582,0.9375,233600.0,0.8153051733970642
2000-01-27,1.09375,0.9492189884185791,0.9589840173721313,1.066406011581421,817600.0,0.9274095296859741
2000-01-28,1.078125,1.0078129768371582,1.078125,1.03125,504000.0,0.8968357443809509
2000-01-31,1.171875,1.046875,1.0546879768371582,1.125,982400.0,0.9783660769462585
2000-02-01,1.109375,1.0859379768371582,1.0859379768371582,1.1015629768371582,97600.0,0.957984447479248
2000-02-02,1.109375,0.9492189884185791,1.105468988418579,1.0078129768371582,1073600.0,0.8764535188674927
2000-02-03,1.015625,0.9726560115814209,1.0,0.9921879768371582,572800.0,0.8628650903701782
2000-02-04,1.015625,1.003906011581421,1.015625,1.015625,388800.0,0.8832473158836365
2000-02-07,1.0703129768371582,0.9921879768371582,1.015625,1.0703129768371582,126400.0,0.9308072328567505
2000-02-08,1.1015629768371582,1.0234379768371582,1.050781011581421,1.074218988418579,75200.0,0.9342042803764343
2000-02-09,1.1015629768371582,1.046875,1.1015629768371582,1.0703129768371582,147200.0,0.9308072328567505
2000-02-10,1.140625,1.09375,1.128906011581421,1.09375,454400.0,0.9511896967887878
2000-02-11,1.15625,1.082031011581421,1.09375,1.109375,331200.0,0.9647780060768127
2000-02-14,1.125,1.03125,1.125,1.046875,220800.0,0.9104242324829102
2000-02-15,1.078125,1.0390629768371582,1.0390629768371582,1.0390629768371582,1006400.0,0.9036306142807007
2000-02-16,1.078125,1.0390629768371582,1.046875,1.0390629768371582,2041600.0,0.9036306142807007
2000-02-17,1.0625,1.0234379768371582,1.03125,1.046875,662400.0,0.9104242324829102
2000-02-18,1.0859379768371582,1.0234379768371582,1.0234379768371582,1.03125,793600.0,0.8968357443809509
2000-02-22,1.042968988418579,1.0234379768371582,1.0234379768371582,1.03125,201600.0,0.8968357443809509
2000-02-23,1.035156011581421,1.0078129768371582,1.03125,1.015625,204800.0,0.8832473158836365
2000-02-24,1.046875,1.0,1.0,1.0234379768371582,476800.0,0.8900418877601624
2000-02-25,1.0546879768371582,1.015625,1.0390629768371582,1.0546879768371582,374400.0,0.9172189831733704
2000-02-28,1.109375,1.03125,1.0859379768371582,1.0859379768371582,121600.0,0.9443958401679993
2000-02-29,1.125,1.0859379768371582,1.0859379768371582,1.125,244800.0,0.9783660769462585
2000-03-01,1.21875,1.109375,1.125,1.1796879768371582,329600.0,1.0259259939193726
2000-03-02,1.1796879768371582,1.125,1.1484379768371582,1.125,48000.0,0.9783660769462585
2000-03-03,1.1875,1.109375,1.1796879768371582,1.109375,307200.0,0.9647780060768127
2000-03-06,1.1640629768371582,1.109375,1.125,1.140625,52800.0,0.9919545650482178
2000-03-07,1.140625,1.097656011581421,1.125,1.097656011581421,124800.0,0.9545862078666687
2000-03-08,1.125,1.09375,1.1015629768371582,1.109375,449600.0,0.9647780060768127
2000-03-09,1.125,1.0625,1.109375,1.0859379768371582,401600.0,0.9443958401679993
2000-03-10,1.109375,1.0546879768371582,1.0546879768371582,1.109375,46400.0,0.9647780060768127
2000-03-13,1.128906011581421,1.042968988418579,1.042968988418579,1.128906011581421,36800.0,0.9817633032798767
